id,number,title,user,state,created_at,closed_at,open_duration,comments
3455601310,2,Rm1 dev,michaelberrios-ntid,closed,2025-09-26T02:51:05+00:00,2025-09-26T02:52:13+00:00,0,0
3425321666,1,Rm0 dev PR,michaelberrios-ntid,closed,2025-09-17T08:50:01+00:00,2025-09-17T08:55:54+00:00,0,1
